#    object_id           flux              mu            shear.g1         shear.g2       image_pos.x      image_pos.y       halo_mass        halo_conc      halo_redshift   
               0   4.87069664e+01   9.97433770e-01  -3.34174265e-02  -2.58732854e-03   1.49890921e+03   1.38282961e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
               1   4.87069664e+01   9.47255191e-01  -2.60177598e-04   3.93715489e-03   6.62789979e+02   3.69400660e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
               2   4.87069664e+01   1.04925850e+00  -4.60813182e-03  -6.57751225e-03   2.47986083e+03   1.54803762e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
               3   4.87069664e+01   1.00940557e+00  -1.28587966e-02   5.39555666e-03   5.67796074e+03   1.17002934e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
               4   4.87069664e+01   1.02551851e+00  -1.55383305e-03  -4.16454881e-03   3.67652930e+03   1.40233228e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
               5   4.87069664e+01   1.00690184e+00  -1.83914420e-03  -2.30412685e-03   2.90826515e+03   3.86370298e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
               6   4.87069664e+01   1.01595158e+00  -1.14309096e-02   2.80902961e-03   6.02874700e+03   3.77577477e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
               7   4.87069664e+01   9.86083200e-01  -2.13446677e-02   7.35237644e-03   1.98630156e+03   3.04018208e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
               9   4.87069664e+01   1.03435860e+00  -5.57609332e-03   1.01684993e-02   8.94879993e+02   3.71823992e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              11   4.87069664e+01   9.62390469e-01  -9.26713959e-03   1.25176214e-02   1.80005527e+03   2.20180212e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              14   4.87069664e+01   9.68962464e-01  -1.47045940e-03   1.22227545e-02   1.56913268e+03   6.18958628e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
