#    object_id           flux              mu            shear.g1         shear.g2       image_pos.x      image_pos.y       halo_mass        halo_conc      halo_redshift   
               0   4.87069664e+01   1.00691019e+00  -2.47603445e-02  -1.00189774e-05   1.09448350e+03   1.19536960e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
               2   4.87069664e+01   1.04855558e+00  -3.56583971e-03  -8.35331912e-03   2.29298592e+03   1.39749715e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
               3   4.87069664e+01   1.00465036e+00  -1.87141574e-03  -4.36178481e-03   6.20034007e+03   9.35133478e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
               4   4.87069664e+01   1.02035501e+00   4.17873905e-03  -6.69482022e-03   3.75504342e+03   1.21954054e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
               5   4.87069664e+01   1.01047662e+00  -1.07302455e-02   3.58547009e-03   2.81639860e+03   4.22677260e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
               6   4.87069664e+01   1.00676625e+00  -9.20128355e-03  -7.36296911e-03   6.62892392e+03   4.11858858e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
               7   4.87069664e+01   1.00570053e+00  -2.91786632e-02   3.68425905e-03   1.68996770e+03   3.22044383e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
               9   4.87069664e+01   1.01660258e+00  -2.00418532e-02  -9.03814164e-03   3.56492548e+02   4.04844049e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              11   4.87069664e+01   9.53664211e-01  -1.53616020e-02   3.52562620e-03   1.46241702e+03   2.19607668e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              14   4.87069664e+01   9.39940547e-01  -9.13020378e-03   6.42422072e-03   1.18027942e+03   2.62118191e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              15   4.87069664e+01   9.95973548e-01   2.11063704e-02  -5.36923135e-03   3.79131306e+03   2.87812469e+00   7.00000000e+14   4.00000000e+00   2.50000000e-01
              19   4.87069664e+01   9.72547146e-01  -1.62072618e-02   3.09638826e-03   1.60396171e+03   3.80545338e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              23   4.87069664e+01   1.02476705e+00  -6.24259256e-03   7.36233158e-04   2.92970286e+03   1.17523990e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              24   4.87069664e+01   1.04045118e+00   5.34937921e-03   5.85905721e-03   2.67528887e+03   2.93405378e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              25   4.87069664e+01   9.88221135e-01  -1.00035804e-03  -3.47323021e-04   1.06888506e+03   2.79455388e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              26   4.87069664e+01   9.92011700e-01   2.07086193e-02  -2.73418977e-03   3.95916507e+03   3.89821053e+00   7.00000000e+14   4.00000000e+00   2.50000000e-01
              27   4.87069664e+01   1.04070209e+00   1.84202374e-03   1.09315211e-02   3.79553899e+03   2.71438675e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
